Title,Author,Price,List Price,Discount Amount,Limited Stock,Discount,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,Subgenres,Synopsis,URL
Pokemon Colouring Book,Dhoju,70.0,70.0,0.0,False,0.0,Arts And Photography,32.0,70,BM67FB32E21C74,English,"['Arts And Photography', 'Kids And Teens']","['Coloring Books', 'Ages 3 to 5']",Specially designed for Children.,https://booksmandala.com/books/pokemon-colouring-book-73132
"Activity Book: My Activity Book of Maths- Addition, Substraction, Multiplication, Division",Om Books Editorial Team,1112.0,1112.0,0.0,True,0.0,Kids And Teens,320.0,894,9789352766383,English,['Kids And Teens'],['Ages 3 to 5'],"Want to conquer your fear of Maths? Have fun with numbers while adding, subtracting, multiplying and dividing. Designed beautifully, My activity book of Maths is ideal for budding mathematicians.",https://booksmandala.com/books/activity-book-my-activity-book-of-maths-addition-substraction-multiplication-division-41651
complete handwiriting fun,Unassigned,360.0,360.0,0.0,True,0.0,Kids And Teens,260.0,270,9788182523012,English,['Kids And Teens'],"['Ages 3 to 5', 'Children Activities and Crafts']","Teach your child to learn and write first steps, alphabets (uppercase and lowercase) and numbers on their own, in the most easy way with the new 'dot to dot' method. Handwriting essentially translates into knowing the direction in which the line flows. The 'dot to dot' method now completely simplifies this.",https://booksmandala.com/books/complete-handwiriting-fun-1459
Diary Of A Wimpy Kid ; Hard Luck,Jeff Kinney,638.0,638.0,0.0,True,0.0,Kids And Teens,217.0,250,9780141353074,English,['Kids And Teens'],['Ages 9 to 12'],"Hard Luck The Wimpy Kid is back! In the most hotly-anticipated children's book release of the year, the hilarious, globally-bestselling and award-winning Diary of a Wimpy Kid series, sees BOOK 8 hit our shelves this November!Greg Heffley's on a losing streak. His best friend, Rowley Jefferson, has ditched him, and finding new friends in middle school is proving to be a tough task. To change his fortunes, Greg decides to take a leap of faith and turn his decisions over to chance. Will a roll of the dice turn things around, or is Greg's life destined to be just another hard-luck story?Perfect for readers of 8+ and also reluctant readers. You can also discover Greg on the big screen in any one of the three Wimpy Kid Movie box office smashes.Praise for Jeff Kinney:'The world has gone crazy for Jeff Kinney's Diary of a Wimpy Kid' - Sun'Kinney is right up there with J K Rowling as one of the bestselling children's authors on the planet' - Independent'The most hotly anticipated children's book of the year is here - Diary of a Wimpy Kid' - Big Issue'Hilarious' - TelegraphAs well as being the international bestselling author of Diary of a Wimpy Kid, Jeff Kinney is also an online developer and designer. He is the creator of the children's virtual world, Poptropica. Jeff has been named one of TIME magazine's most influential people in the world. His original Diary of a Wimpy Kid was voted 'Best Children's Book of the Last 10 Years' by UK readers. Jeff lives with his family in Massachusetts, USA.",https://booksmandala.com/books/diary-of-a-wimpy-kid-hard-luck-37920
Amelia Bedelia,Peggy Parish,318.0,318.0,0.0,True,0.0,Kids And Teens,64.0,125,9780064441551,English,['Kids And Teens'],['Ages 6 to 8'],"From dressing the chicken to dusting the furniture, Amelia Bedelia does exactly what Mr. and Mrs. Rogers tell her. ...But somehow things never turn out quite right.",https://booksmandala.com/books/amelia-bedelia-16669
Where the Sidewalk Ends,Shel Silverstein,1598.0,1598.0,0.0,True,0.0,Fiction And Literature,183.0,600,9781846143847,English,"['Fiction And Literature', 'Kids And Teens']","['Poetry and Prose', 'Classics', 'Young Adult', 'Childrens']","If you are a dreamer, come in, If you are a dreamer, A wisher, a liar, A hope-er, a pray-er, A magic bean buyer ...Come in ...for where the sidewalk ends, Shel Silverstein's world begins. You'll meet a boy who turns into a TV set, and a girl who eats a whale. The Unicorn and the Bloath live there, and so does Sarah Cynthia Sylvia Stout who will not take the garbage out. It is a place where you wash your shadow and plant diamond gardens, a place where shoes fly, sisters are auctioned off, and crocodiles go to the dentist. Shel Silverstein's masterful collection of poems and drawings is at once outrageously funny and profound.",https://booksmandala.com/books/where-the-sidewalk-ends-68559
Diary of a Wimpy Kid 09. The Long Haul,Jeff Kinney,638.0,638.0,0.0,False,0.0,Fiction And Literature,217.0,200,9780141361819,English,"['Fiction And Literature', 'Kids And Teens']","['Horror', 'Contemporary', 'Ages 9 to 12']","A family road trip is supposed to be a lot of fun . . . unless, of course, you're the Heffleys. The journey starts off full of promise, then quickly takes several wrong turns. Gas station bathrooms, crazed seagulls, a fender bender, and a runaway pig-not exactly Greg Heffley's idea of a good time. But even the worst road trip can turn into an adventure-and this is one the Heffleys won't soon forget.",https://booksmandala.com/books/diary-of-a-wimpy-kid-09-the-long-haul-40835
The Jungle Book,Miriam Bos,760.0,760.0,0.0,True,0.0,Arts And Photography,11.0,305,9781509808366,English,"['Arts And Photography', 'Kids And Teens']","['Picture Books', 'Ages 3 to 5']","A first novelty board book about The Jungle Book, with push, pull and slide mechanisms.The wild adventures of Mowgli in Rudyard Kipling's The Jungle Book are well-loved, timeless tales of growing up and finding a place in the world. First Stories: The Jungle Book is a perfect introduction for young children to this classic story and its host of animal characters. Push, pull and slide mechanisms to bring the story to life and see favourite scenes in action. Mowgli, Baloo, Bagheera and of course the fearsome tiger Shere Khan are all beautifully imagined by Miriam Bos in her bold, appealing illustrations.",https://booksmandala.com/books/the-jungle-book-12891
Diary of a Wimpy Kid 13: The Meltdown,Jeff Kinney,638.0,638.0,0.0,False,0.0,Kids And Teens,240.0,195,9780241389324,English,['Kids And Teens'],['Teens and Young Adult'],"When snow shuts down Greg Heffley's middle school, his neighbourhood transforms into a wintry battlefield. Rival groups fight over territory, build massive snow forts and stage epic snowball fights. And in the crosshairs are Greg and his trusty best friend, Rowley Jefferson. It's a fight for survival as Greg and Rowley navigate alliances, betrayals and warring gangs in a neighborhood meltdown. When the snow clears, will Greg and Rowley emerge as heroes ? Or will they even survive to see another day ?",https://booksmandala.com/books/diary-of-a-wimpy-kid-13-the-meltdown-19026
Looking for Alaska,John Green,560.0,560.0,0.0,False,0.0,Fiction And Literature,271.0,225,9780007523528,English,"['Fiction And Literature', 'Kids And Teens']","['Young Adult', 'Contemporary', 'Romance', 'Teens and Young Adult']","Before. Miles “Pudge” Halter is done with his safe life at home. His whole life has been one big non-event, and his obsession with famous last words has only made him crave “the Great Perhaps” even more (Francois Rabelais, poet). He heads off to the sometimes crazy and anything-but-boring world of Culver Creek Boarding School, and his life becomes the opposite of safe. Because down the hall is Alaska Young. The gorgeous, clever, funny, sexy, self-destructive, screwed up, and utterly fascinating Alaska Young. She is an event unto herself. She pulls Pudge into her world, launches him into the Great Perhaps, and steals his heart. Then. . . . After. Nothing is ever the same.",https://booksmandala.com/books/looking-for-alaska-1009
Quidditch Through the Ages,J. K. Rowling,958.0,958.0,0.0,True,0.0,Fiction And Literature,124.0,160,9781408883082,English,"['Fiction And Literature', 'Kids And Teens']","['Fantasy', 'Young Adult', 'Ages 9 to 12']","A perennial bestseller in the wizarding world and one of the most popular books in the Hogwarts School library,Quidditch Through the Ages contains all you will ever need to know about the history, the rules - and the breaking of the rules - of the noble sport of Quidditch. Packed with fascinating facts, this definitive guide by the esteemed Quidditch writer Kennilworthy Whisp charts the game's history from its early origins in the medieval mists on Queerditch Marsh, through to the modern-day sport loved by so many wizard and Muggle families around the world. With comprehensive coverage of famous Quidditch teams, the commonest fouls, the development of racing brooms, and much more, this is a must-have sporting bible for all Harry Potter fans, Quidditch lovers and players, whether the weekend amateur or the seasoned Chudley Cannons season-ticket holder. This brand new edition of the most famous sports book in the wizarding world pairs J.K. Rowling's original text, with gorgeous jacket art by Jonny Duddle and line illustrations throughout by Tomislav Tomic. A contribution from the sale of each book will go to Comic Relief.",https://booksmandala.com/books/quidditch-through-the-ages-32376
Aphno Kam Aphai,Prabhakar Joshi,160.0,160.0,0.0,True,0.0,Kids And Teens,16.0,72,9789937629546,Nepali,['Kids And Teens'],['Nepali Children Book'],"३ वर्ष वा माथिका बालबालिकाका लागि पढेर सुनाउन, पुस्तकबारे छलफल गर्न तथा ६ वर्ष माथिका बालबालिकाले आफैँ अध्ययन गर्न उपयुक्त पुस्तक ।",https://booksmandala.com/books/aphno-kam-aphai-68473
Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,200.0,200.0,0.0,False,0.0,Kids And Teens,48.0,160,9789391924294,English,['Kids And Teens'],"['Ages 3 to 5', 'Ages 6 to 8', 'Children Activities and Crafts']","The 200+ activities book is ideal to introduce math, language and logic to preschoolers. The colorfully illustrated pages have been designed in a creative manner to teach a variety of skills through fun-filled activities and puzzles and promises to keep your child engaged in hours of learning. Let the fun begin! The 200+ activities book is ideal to introduce math, language and logic to preschoolers. The colorfully illustrated pages have been designed in a creative manner to teach a variety of skills through fun-filled activities and puzzles and promises to keep your child engaged in hours of learning. Let the fun begin!",https://booksmandala.com/books/brain-activity-book-for-kids-200-activities-for-age-3-70119
Alice in Wonderland,Fun Studio,720.0,720.0,0.0,False,0.0,Kids And Teens,10.0,510,9780794445867,English,['Kids And Teens'],"['Baby to 2', 'Ages 3 to 5']","Join Alice as she tumbles down the rabbit hole and into the strange and magical Wonderland, wehre the Cheshire Cat can speak, the Queen plays croquet with flamingos, and the Mad Hatter throws lavish tea parties.",https://booksmandala.com/books/alice-in-wonderland-49863
fish tales,Stephen C. Lundin,150.0,150.0,0.0,False,0.0,Kids And Teens,176.0,250,9780340821947,English,['Kids And Teens'],"['Ages 6 to 8', 'Ages 9 to 12']","This follow up to Fish! offers case-studies of how companies are applying the fish philosophy to meet their unique goals and needs. The book features four real-life stories of the fish principle in action - to help you reel in new possibilities in the workplace - and four short chapters, also from actual organizations, on the four principles of the fish philosophy. Using a short, easy-to-read format, it offers a message that can be applied to every kind of business with examples of re-energized companies to inspire the reader.",https://booksmandala.com/books/fish-tales-457
"Gruffalo, Where Are You?: a Felt Flaps Book",Julia Donaldon,720.0,720.0,0.0,True,0.0,Arts And Photography,10.0,250,9781529023602,English,"['Arts And Photography', 'Kids And Teens']","['Picture Books', 'Ages 3 to 5']","A chunky board book with felt flaps to open on every spread, based on the bestselling modern classic, The Gruffalo, and specially designed for babies.You're never too young to meet a Gruffalo! Turn the satisfyingly chunky board pages and lift the soft felt flaps to meet all your favourite characters from the deep dark wood.Perfect for tiny Gruffalo fans, Grufflalo, Where Are You is part of a charming range of books specially created for babies featuring Julia Donaldson and Axel Scheffler's iconic creation, the Gruffalo. Designed to appeal to even the youngest child, simple patterns and bright colours combine with Axel Scheffler's instantly recognizable artwork to keep babies entertained for hours.",https://booksmandala.com/books/gruffalo-where-are-you-a-felt-flaps-book-12889
Bedaga candrama,Priya Narayaṇa,325.0,325.0,0.0,True,0.0,Kids And Teens,43.0,180,9789937709248,Nepali,['Kids And Teens'],['Nepali Children Book'],"Children's story based on moon, the little girl asks her father why the stain is in the moon.",https://booksmandala.com/books/bedaga-candrama-40240
Sapiens Graphic Novel Volume 2,Yuval Noah Harari,1758.0,1758.0,0.0,True,0.0,Fiction And Literature,240.0,1130,9781787333765,English,"['Fiction And Literature', 'History Biography And Social Science', 'Learning And Reference']","['Anthology', 'History', 'Science']","Twelve thousand years ago, we humans fell into a trap. Volume II of Sapiens- A Graphic History tells the story of how wheat took over the world; how an unlikely marriage between a god and a bureaucrat created the first empires; and how war, famine, disease and inequality became a part of the human condition. Sound sombre? Not with this cast of entertaining characters, returning from Volume I to explore the Agricultural Revolution. Yuval, Zoe, Prof. Saraswati, Cindy and Bill (turned farmers), Detective Lopez, and Dr. Fiction - are all back to travel the length and breadth of human history. The cunning Mephisto shows them how to entrap humans, King Hammurabi lays down the law, and Confucius explains harmonious society. With guest appearances by Thomas Jefferson, Scarlet O'Hara and Ruth Bader Ginzburg. And there's plenty more genre-bending to enjoy in this book. The origins of modern farming are introduced through Elizabethan tragedy, the changing fortunes of domesticated plants and animals are tracked in the columns of the Daily Business News, the story of urbanization is told as a travel brochure offering discount journeys to ancient Babylon and China, while the history of inequality is scouted out in a superhero detective story. This graphic series is a radical, witty and colourful retelling of the story of humankind, adapted from the international bestseller Sapiens- A Brief History of Humankind, which has sold 18.5 Million copies in 60 languages worldwide. Volume II can be read as a standalone book or as a follow-up to Volume I, and is designed to captivate adults and young adults who don't usually engage with science and history. If you want to know why we are all trapped inside the dreams of dead people - this is your ideal reader.",https://booksmandala.com/books/sapiens-graphic-novel-volume-2-6998
Einstein,Walter. Isaacson,1118.0,1118.0,0.0,True,0.0,History Biography And Social Science,675.0,480,9781847390547,English,"['History Biography And Social Science', 'Learning And Reference']","['Biography', 'History', 'Memoir', 'Science']","Einstein was a rebel and nonconformist from boyhood days, and these character traits drove both his life and his science. In this narrative, Walter Isaacson explains how his mind worked and the mysteries of the universe that he discovered.",https://booksmandala.com/books/einstein-48892
Find Your Voice,Noor Unnahar,958.0,958.0,0.0,True,0.0,Fiction And Literature,158.0,245,9780525576037,English,"['Fiction And Literature', 'Learning And Reference']","['Poetry and Prose', 'Language', 'Linguistics and Writing']","From Pakistani poet and Instagram darling Noor Unnahar comes a journal that encourages writers to explore their inner poet, through a variety of evocative and thought-provoking prompts, using Noor's captivating voice as a guide. This journal is where pop poetry and creative inspiration meet. With more than 100 writing prompts influenced by Noor's handwritten poetry and enchanting collages, this journal allows writers to explore their writing style and funnel it into meaningful, cathartic, provocative poetry.",https://booksmandala.com/books/find-your-voice-68498
The Science of Self-Discipline,Peter Hollins,552.0,552.0,0.0,True,0.0,Self Improvement And Relationships,171.0,260,9788183285742,English,"['Self Improvement And Relationships', 'History Biography And Social Science', 'Learning And Reference']","['Self Help', 'Productivity', 'Mental Health', 'Psychology', 'Science']","Your best intentions are not enough. Learn how to scientifically engineer a disciplined existence, become relentless, and never give up.Whatever you want in your life, self-discipline is the missing piece. Goals will remain dreams if you make the mistake of relying on motivation and your best drawn plans.The Science of Self-Discipline is a deep look into what allows us to resist our worst impulses and simply execute, achieve, produce, and focus. Every principle is scientifically-driven and dissected to as be actionable and helpful as possible. You’ll learn how top performers consistently exercise self-discipline, as well as what drives us on an instinctual, psychological level to act.This isn’t just a book; it’s a roadmap to the human psyche and will allow you to accomplish exactly what you set out to do, every time. When you understand what drives your cravings and the true roots of self-discipline, you’ll be able to rise above your temporary discomfort and focus on what really matters. Discover every factor that impacts self-discipline for better or worse.Break free of excuses, distractions, laziness, and temptations.Peter Hollins has studied psychology and peak human performance for over a dozen years and is a bestselling author. He has worked with dozens of individuals to unlock their potential and path towards success. His writing draws on his academic, coaching, and research experience.Beat instant gratification and create limitless motivation.•The biological basis of self-discipline - and why it’s beneficial to you.•Discipline tactics for high performers such as Navy SEALs.•Diagnosing what motivates you, what drains you, and what moves you emotionally.•Engineering an environment and social circle that boosts self-discipline.Form productive habits to increase your focus, strengthen your resolve, and stop giving up from boredom or frustration.•Why choosing two marshmallows over one matters.•Four questions for any potential lapse in willpower.•The interplay between habits, motivation, and self-discipline.Self-discipline and willpower will fundamentally change your life.A goal without the self-discipline necessary to enact it will remain just a dream or fantasy. Does this describe you more often than not? It doesn’t matter what you want to do - you might want to become a CEO or just clean more consistently - self-discipline is one of the most important life skills because it is the skill of doing and executing.Pick up your copy today by clicking the BUY NOW button at the top of this page.",https://booksmandala.com/books/the-science-of-self-discipline-73203
Seeing What Others Don't the Remarkable Ways We Gain Insights,Gary Klein,958.0,958.0,0.0,True,0.0,History Biography And Social Science,288.0,261,9781857886788,English,"['History Biography And Social Science', 'Business And Investing', 'Learning And Reference']","['Psychology', 'Business', 'Science']","Insights can change the world, but we also need insights into the everyday things that frustrate and confuse us, so we can more effectively solve problems, make decisions and get things done. Yet until now, we knew remarkably little about insight: how it works, and how we can develop it for ourselves.",https://booksmandala.com/books/seeing-what-others-dont-the-remarkable-ways-we-gain-insights-27293
The Book of Answers,Carol Bolt,1278.0,1278.0,0.0,True,0.0,Self Improvement And Relationships,706.0,514,9780553813548,English,['Self Improvement And Relationships'],['Self Help'],"This previously self-published book has been an inspiration to thousands since its first publication, for within its pages lies the answers to all the questions of daily life.
HOW TO USE THE BOOK OF ANSWERS
1.HOLD THE CLOSED BOOK IN YOUR HAND, ON YOUR LAP OR ON A TABLE.
2.TAKE TEN OR FIFTEEN SECONDS TO CONCENTRATE ON YOUR QUESTION.
QUESTIONS SHOULD BE PHRASED IN THE FOLLOWING STYLE:
'IS THE JOB I'M APPLYING FOR THE RIGHT ONE?' OR,
'SHOULD I TRAVEL THIS WEEKEND?'",https://booksmandala.com/books/the-book-of-answers-70720
Nepali in Context,"Daniel P. Watters, Narendra B Rajbhandary",995.0,995.0,0.0,True,0.0,Learning And Reference,487.0,850,9789937106085,English,['Learning And Reference'],"['Language', 'Linguistics and Writing', 'Language Books']","Features of Nepali In Context
Useful or common topics encountered in everyday life.
Frequent and current vocabulary (roughly 1,200 words)
Useful phrases that are basic, yet practical.
Creative texts that illustrate grammar and vocabulary usage.
Clear and concise grammar explanations.
Helpful exercises that focus on specific sentence patterns.
Conversation tools such as role-playing, games, discussion topics...
Contemporary methodology that integrates community involvement.
Interesting cultural information.
Useful vocabulary list (roughly 1,800 words).
Useful appendixes.",https://booksmandala.com/books/nepali-in-context-28908
The Book You Wish Your Parents Had Read,Philippa Perry,880.0,880.0,0.0,True,0.0,Self Improvement And Relationships,256.0,175,9780241251027,English,"['Self Improvement And Relationships', 'History Biography And Social Science']","['Parenting and Relationships', 'Self Help', 'Psychology']","THE #1 SUNDAY TIMES BESTSELLER 'A wonderful book' Richard Osman 'So clear and true ... Helpful for all relationships in life' Nigella Lawson______________________________________________________________________________________ How can we have better relationships? In this Sunday Times bestseller, leading psychotherapist Philippa Perry reveals the vital do's and don'ts of relationships. This is a book for us all. Whether you are interested in understanding how your upbringing has shaped you, looking to handle your child's feelings or wishing to support your partner, you will find indispensable information and realistic tips in these pages. Philippa Perry's sane, sage and judgement-free advice is an essential resource on how to have the best possible relationships with the people who matter to you most._____________________________________________________________________________________ 'It gave me hope as a new parent' Babita Sharma 'A fascinating read on the emotional baggage we all carry' Elizabeth Day",https://booksmandala.com/books/the-book-you-wish-your-parents-had-read-36446
The Origin of Species,Charles Darwin,638.0,638.0,0.0,True,0.0,History Biography And Social Science,576.0,255,9780451529060,English,"['History Biography And Social Science', 'Spirituality And Philosophy', 'Learning And Reference']","['Biology', 'Philosophy', 'Science']","Charles Darwin’s classic that exploded into public controversy, revolutionized the course of science, and continues to transform our views of the world. Few other books have created such a lasting storm of controversy as The Origin of Species. Darwin’s theory that species derive from other species by a gradual evolutionary process and that the average level of each species is heightened by the “survival of the fittest” stirred up popular debate to fever pitch. Its acceptance revolutionized the course of science. As Sir Julian Huxley, the noted biologist, points out in his illuminating introduction, the importance of Darwin’s contribution to modern scientific knowledge is almost impossible to evaluate: “a truly great book, one which can still be read with profit by professional biologist.” Includes an Introduction by Sir Julian Huxley",https://booksmandala.com/books/the-origin-of-species-70737
How Emotions Are Made,Lisa Feldman Barrett,1040.0,1040.0,0.0,True,0.0,History Biography And Social Science,448.0,322,9781509837526,English,"['History Biography And Social Science', 'Learning And Reference']","['Society and Culture', 'Biology', 'Science', 'Neuroscience']","'By the deepest thinker about this topic since Darwin' Daniel Gilbert, author of the bestseller Stumbling on Happiness 'Fascinating ... a thought-provoking journey into emotion science' The Wall Street Journal 'This meticulous, well-researched, and deeply thought out book provides information about our emotions - what they are, where they come from, why we have them. For anyone who has struggled to reconcile brain and heart, this book will be a treasure; it explains the science without short-changing the humanism of its topic' Andrew Solomon, bestselling author of Far From the Tree and The Noonday Demon When you feel anxious, angry, happy, or surprised, what's really going on inside of you? Many scientists believe that emotions come from a specific part of the brain, triggered by the world around us. The thrill of seeing an old friend, the fear of losing someone we love - each of these sensations seems to arise automatically and uncontrollably from within us, finding expression on our faces and in our behaviour, carrying us away with the experience. This understanding of emotion has been around since Plato. But what if it is wrong? In How Emotions Are Made, pioneering psychologist and neuroscientist Lisa Feldman Barrett draws on the latest scientific evidence to reveal that our common-sense ideas about emotions are dramatically, even dangerously, out of date - and that we have been paying the price. Emotions aren't universally pre-programmed in our brains and bodies; rather they are psychological experiences that each of us constructs based on our unique personal history, physiology and environment. This new view of emotions has serious implications: when judges issue lesser sentences for crimes of passion, when police officers fire at threatening suspects, or when doctors choose between one diagnosis and another, they're all, in some way, relying on the ancient assumption that emotions are hardwired into our brains and bodies. Revising that conception of emotion isn't just good science, Barrett shows; it's vital to our well-being and the health of society itself.",https://booksmandala.com/books/how-emotions-are-made-12908
The Ten Types of Human,Dexter Dias,1118.0,1118.0,0.0,False,0.0,History Biography And Social Science,352.0,690,9780099592549,English,"['History Biography And Social Science', 'Spirituality And Philosophy', 'Learning And Reference']","['Psychology', 'Philosophy', 'Science']","'This book is the one. Think Sapiensand triple it.' - Julia Hobsbawm, author of Fully Connected We all have ten types of human in our head. They're the people we become when we face life's most difficult decisions. We want to believe there are things we would always do - or things we never would. But how can we be sure? What are our limits? Do we have limits? The Ten Types of Humanis a pioneering examination of human nature. It looks at the best and worst that human beings are capable of, and asks why. It explores the frontiers of the human experience, uncovering the forces that shape our thoughts and actions in extreme situations. From courtrooms to civil wars, from Columbus to child soldiers, Dexter Dias takes us on a globe-spanning journey in search of answers, touching on the lives of some truly exceptional people. Combining cutting-edge neuroscience, social psychology and human rights research, The Ten Types of Humanis a provocative map to our hidden selves. It provides a new understanding of who we are - and who we can be. 'I emerged from this book feeling better about almost everything... a mosaic of faces building into this extraordinary portrait of our species.' - Guardian 'The Ten Types of Humanis a fantastic piece of non-fiction, mixing astonishing real-life cases with the latest scientific research to provide a guide to who we really are. It's inspiring and essential.'- Charles Duhigg 'Uplifting and indispensable.'- Howard Cunnell What readers are saying about 'the most important book in years'- 'utterly compelling...this one comes with a warning - only pick it up if you can risk not putting it down' - Wendy Heydorn on Amazon, 5 stars 'one of the most remarkable books I've read... I can genuinely say that it has changed the way I view the world' - David Jones on Amazon, 5 stars 'Essential readingfor anyone wishing to understand the human condition... a thrilling and beautifully crafted book' - Wasim on Amazon, 5 stars 'This is the most important book I have read in years' - Natasha Geary on Amazon, 5 stars 'an important and fascinating read... It will keep you glued to the page' - Hilary Burrage on Amazon, 5 stars 'a journey that I will never forget, will always be grateful for, and I hope will help me question who I am... a work of genius' - Louise on Amazon, 5 stars 'This is a magnificent bookthat will capture the interest of every type of reader... one of those rare and specialbooks that demand rereading' - Amelia on Amazon, 5 stars 'I simply couldn't put it down... one of the most significant books of our time' - Jocelyne Quennellon Amazon, 5 stars 'Read The Ten Types of Humanand be prepared to fall in love' - Helen Fospero on Amazon, 5 stars",https://booksmandala.com/books/the-ten-types-of-human-44047
Moonwalking with Einstein,Joshua Foer,958.0,958.0,0.0,False,0.0,Self Improvement And Relationships,307.0,250,9780141032139,English,"['Self Improvement And Relationships', 'History Biography And Social Science', 'Learning And Reference']","['Self Help', 'Psychology', 'Memoir', 'Science']","'If you want to understand how we remember, and how we can all learn to remember better, then read this book' Jonah Lehrer Can anyone get a perfect memory? Joshua Foer used to be like most of us, forgetting phone numbers and mislaying keys. Then he learnt the art of memory training, and a year later found himself in the finals of the US Memory Championship. He also discovered a truth we often forget- that, even in an age of technology, memory is the key to everything we are. In Moonwalking with Einsteinhe takes us on an astonishing journey through the mind, from ancient 'memory palace' techniques to neuroscience, from the man who can recall nine thousand books to another who constantly forgets who he is. In doing so, Foer shows how we can all improve our memories. 'The most entertaining science book of the year' Sunday Times, Books of the Year 'Captivating . . . engaging . . . smart and funny' The New York Times'Delightful . . . uplifting . . . it shows that our minds can do extraordinary things' Wall Street Journal'A lovely exploration of the ways that we preserve our lives and our world in the golden amber of human memory' New Scientist",https://booksmandala.com/books/moonwalking-with-einstein-32075
Bad Science,Ben Goldacre,958.0,958.0,0.0,True,0.0,History Biography And Social Science,370.0,285,9780007284870,English,"['History Biography And Social Science', 'Spirituality And Philosophy', 'Learning And Reference']","['Medicine', 'Psychology', 'Philosophy', 'Science']","When Dr Ben Goldacre saw someone on daytime TV dipping her feet in an Àqua Detox' footbath, releasing her toxins into the water and turning it brown, he thought he'd try the same at home. L̀ike some kind of Johnny Ball cum Witchfinder General', using his girlfriend's Barbie doll, he gently passed an electrical current through the warm salt water. It turned brown. In his words: b̀efore my very eyes, the world's first Detox Barbie was sat, with her feet in a pool of brown sludge, purged of a weekend's immorality.' Dr Ben Goldacre is the author of the BAD SCIENCE column in the Guardian and his book is about all the b̀ad science' we are constantly bombarded with in the media and in advertising. At a time when science is used to prove everything and nothing, everyone has their own b̀ad science' moments from the useless pie-chart on the back of cereal packets to the use of the word v̀isibly' in cosmetics ads. This book will help people to quantify their instincts that a lot of the so-called s̀cience' which appears in the media and in advertising is just wrong or misleading. Satirical and amusing and unafraid to expose the ridiculous it provides the reader with the facts they need to differentiate the good from the bad.",https://booksmandala.com/books/bad-science-4573
If Each Comes Halfway,Kathryn S. March,530.0,530.0,0.0,False,0.0,History Biography And Social Science,271.0,480,9780801488276,English,"['History Biography And Social Science', 'Learning And Reference']","['Society and Culture', 'Sociology', 'Science']","For twenty-five years, Kathryn S. March has collected the life stories of the women of a Buddhist Tamang farming community in Nepal. In ""If Each Comes Halfway"", she shows the process by which she and Tamang women reached across their cultural differences to find common ground. March allows the women's own words to paint a vivid portrait of their highland home. Because Tamang women frequently told their stories by singing poetic songs in the middle of their conversations with March, each book includes a CD of traditional songs not recorded elsewhere. Striking photographs of the Tamang people accent the book's written accounts and the CD's musical examples. In conversation and song, the Tamang open their sem?their ""hearts-and-minds""?as they address a broad range of topics: life in extended households, women's property issues, wage employment and out-migration, sexism, and troubled relations with other ethnic groups. Young women reflect on uncertainties. Middle-aged women discuss obligations. Older women speak poignantly, and bluntly, about weariness and waiting to die. The goal of March's approach to ethnography is to place Tamang women in control of how their stories are told and allow an unusually intimate glimpse into their world.",https://booksmandala.com/books/if-each-comes-halfway-39298
Fear,Osho,638.0,638.0,0.0,True,0.0,Self Improvement And Relationships,192.0,175,9781250006233,English,"['Self Improvement And Relationships', 'Spirituality And Philosophy']","['Self Help', 'Philosophy']","One of the greatest spiritual teachers of the twentieth century invites you on a journey through what makes human beings afraid—and how confronting fears strengthens us. In Fear: Understanding and Accepting the Insecurities of Life, Osho takes the reader step by step over the range of what makes human beings afraid—from the reflexive “fight or flight” response to physical danger to the rational and irrational fears of the mind and its psychology. Only by bringing the light of understanding into fear’s dark corners, he says, airing out closets and opening windows, and looking under the bed to see if a monster is really living there, can we begin to venture outside the boundaries of our comfort zone and learn to live with, and even enjoy, the fundamental insecurity of being alive.Fear features a series of meditation experiments designed to help readers experience a new relationship with fear and to begin to see fears not as stumbling blocks, but as stepping stones to greater self-awareness and trust.Osho challenges readers to examine and break free of the conditioned belief systems and prejudices that limit their capacity to enjoy life in all its richness. He has been described by the Sunday Times of London as one of the “1000 Makers of the 20th Century” and by Sunday Mid-Day (India) as one of the ten people—along with Gandhi, Nehru, and Buddha—who have changed the destiny of India. Since his death in 1990, the influence of his teachings continues to expand, reaching seekers of all ages in virtually every country of the world.",https://booksmandala.com/books/fear-49362
Quantum Mechanics: The Theoretical Minimum,"Leonard Susskind, Art Friedman",1118.0,1118.0,0.0,True,0.0,Learning And Reference,384.0,300,9780141977812,English,['Learning And Reference'],['Science'],"In The Theoretical Minimum, world-class physicist Leonard Susskind provided a brilliant first course in classical mechanics, offering readers not an oversimplified introduction but the real thing - everything you need to start doing physics, and nothing more.",https://booksmandala.com/books/quantum-mechanics-the-theoretical-minimum-22297
IELTS 11 General Training,Cambridge University Press,704.0,704.0,0.0,True,0.0,Learning And Reference,144.0,257,9781316627310,English,['Learning And Reference'],"['Language', 'Linguistics and Writing']",Reading books is a kind of enjoyment. Reading books is a good habit. We bring you a different kinds of books. You can carry this book where ever you want. It is easy to carry. It can be an ideal gift to yourself and to your loved ones. Care instruction keep away from fire.,https://booksmandala.com/books/ielts-11-general-training-47809
