Title,Author,Price,Rating,Limited Stock,Discount,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,Synopsis,URL
Warmth,Rithvik Singh,Rs. 478,N/A,N/A,N/A,Fiction And Literature,192 Pages,200g,9780143469520,English,"Fiction and Literature:, Fiction and Literature:","Dear reader,If you have a heart, you will fall in love. And chances are, someone will end up breaking your heart. I wrote this book after someone broke mine.What do you do when the only person you’ ve ever loved with your whole heart decides to leave your life? You keep trying to run away from the hurt, but to no avail. This book is a product of all the running I did from heartbreak.I feel everything too deeply, and when my heart broke, I collected all the broken pieces, and they fueled my art. This book is everything I wrote after someone I loved left me.There’ s too much heartbreak in these pages, but also too much hope and, more than anything, a promise that life can’ t always hurt you.I hope healing finds its way to you soon.Love,Rithvik",https://booksmandala.com/books/warmth-72149
Kafka on the shore,Haruki Murakami,Rs. 958,4.0,N/A,N/A,Fiction And Literature,505 Pages,375g,9780099458326,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","With Kafka on the Shore, Haruki Murakami gives us a novel every bit as ambitious and expansive as The Wind-Up Bird Chronicle, which has been acclaimed both here and around the world for its uncommon ambition and achievement, and whose still-growing popularity suggests that it will be read and admired for decades to come. This magnificent new novel has a similarly extraordinary scope and the same capacity to amaze, entertain, and bewitch the reader. A tour de force of metaphysical reality, it is powered by two remarkable characters: a teenage boy, Kafka Tamura, who runs away from home either to escape a gruesome oedipal prophecy or to search for his long-missing mother and sister; and an aging simpleton called Nakata, who never recovered from a wartime affliction and now is drawn toward Kafka for reasons that, like the most basic activities of daily life, he cannot fathom. Their odyssey, as mysterious to them as it is to us, is enriched throughout by vivid accomplices and mesmerizing events. Cats and people carry on conversations, a ghostlike pimp employs a Hegel-quoting prostitute, a forest harbors soldiers apparently unaged since World War II, and rainstorms of fish (and worse) fall from the sky. There is a brutal murder, with the identity of both victim and perpetrator a riddle-yet this, along with everything else, is eventually answered, just as the entwined destinies of Kafka and Nakata are gradually revealed, with one escaping his fate entirely and the other given a fresh start on his own. Extravagant in its accomplishment, Kafka on the Shore displays one of the world's truly great storytellers at the height of his powers.",https://booksmandala.com/books/kafka-on-the-shore-35949
I Don't Love You Anymore: Moving On and Living Your Best Life,Rithvik Singh,Rs. 478,3.0,N/A,N/A,Fiction And Literature,173 Pages,160g,9780143469131,English,"Fiction and Literature:, Fiction and Literature:","I hope this book feels like a warm hug to you. I wrote this book for the ones who feel everything too deeply. You’re right, I wrote this book for you.
This book was meant to find you if you’ve ever loved someone who didn’t love you back, if you’ve ever over-invested in the wrong people or if you have a hard time letting go.
I Don’t Love You Anymore is a book that’ll feel like home to you. I promise it’ll hold you gently on your worst days.

Love,",https://booksmandala.com/books/i-dont-love-you-anymore-moving-on-and-living-your-best-life-71914
Land where i flee,Prajwal Parajuly,Rs.  558.6 Rs.  798( 30% OFF),N/A,N/A,N/A,Fiction And Literature,266 Pages,500g,9781780872971,English,"History, Biography, and Social Science:, History, Biography, and Social Science:","Three Westernized siblings return to their Himalayan hometown, but a game of happy families is the last thing on the cards. To commemorate Chitralekha Nepauney's Chaurasi - her landmark 84th birthday - three of Chitralekha's grandchildren are travelling to Gangtok, Sikkim, to pay their respects. Agastaya is flying in from New York. Although a successful oncologist, he is terrified of his family's inquisition into why he is not married, and even more terrified that the reason for his bachelordom will be discovered. Joining him are Manasa and Bhagwati, travelling from London and Colorado respectively. One the Oxford-educated achiever; the other the disgraced eloper - one moneyed but miserable; the other ostracized but optimistic. BUT A GAME OF HAPPY FAMILIES IS THE LAST THING ON THE CARDS...All three harbour the same dual objective: to emerge from the celebrations with their formidable grandmother's blessing and their nerves intact: a goal that will become increasingly impossible thanks to a mischievous maid and a fourth, uninvited guest.",https://booksmandala.com/books/land-where-i-flee-25962
The Poppy War,R. F. Kuang,Rs. 958,4.0,N/A,N/A,Fiction And Literature,544 Pages,395g,9780008239848,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","""When Rin aced the Keju--the Empire-wide test to find the most talented youth to study at the academies--it was a shock to everyone: to the test officials, who couldn't believe a war orphan from Rooster Province could pass without cheating; to Rin's guardians, who always thought they'd be able to marry Rin off to further their criminal enterprise; and to Rin herself, who realized she was now finally free of the servitude and despair that had made up her daily existence. That she got into Sinegard--the most elite military school in the Nikara Empire--was even more surprising. But surprises aren't always good. Being a dark-skinned peasant girl from the south is not an easy thing at Sinegard. Rin is targeted from the outset by rival classmates because of her color, poverty, and gender. Driven to desperation, she discovers she possesses a lethal, unearthly power--an aptitude for the nearly mythical art of shamanism. Exploring the depths of her gift with the help of a seemingly insane teacher and psychoactive substances, Rin learns that gods long thought dead are very much alive--and that mastering control over her powers could mean more than just surviving school. For even though the Nikara Empire is at peace, the Federation of Mugen still lurks across a narrow sea. The militarily advanced Federation occupied the Nikara Empire for decades after the First Poppy War, and only barely lost the continent in the Second. And while most of the people in the Empire would rather forget their painful history, a few are aware that a Third Poppy War is just a spark away. Rin's shamanic powers may be the only way to save her people. But as she finds out more about the god who has chosen her, the vengeful Phoenix, she fears that winning the war may cost her her humanity. And it may already be too late.""--Jacket.",https://booksmandala.com/books/the-poppy-war-12265
The Book Thief,Markus Zusak,Rs. 880,5.0,N/A,N/A,Fiction And Literature,583 Pages,440g,9781784162122,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","It is 1939. In Nazi Germany, the country is holding its breath. Death has never been busier - and will become busier still. By her brother's graveside, Liesel's life is changed forever when she picks up a single object, abandoned in the snow. It is The Gravedigger's Handbook, and this is her first act of book thievery. So begins Liesel's love affair with books and words, and soon she is stealing from Nazi book-burnings, the mayor's wife's library . . . wherever there are books to be found. But these are dangerous times, and when Liesel's foster family hides a Jew in their basement, nothing will ever be the same again. In superbly crafted writing that burns with intensity, award-winning author Markus Zusak has given us one of the most enduring stories of our time. Now a major film from Twentieth-Century Fox starring Geoffrey Rush and Emily Watson.",https://booksmandala.com/books/the-book-thief-25929
Eklo,Buddhisagar,Rs. 840,5.0,N/A,N/A,Fiction And Literature,494 Pages,370g,9789937746717,Nepali,"Nepali:, Nepali:, Nepali:, Nepali:",पछिल्लो बाहिरी पृष्ठबाट एक्लो श्रीको कथा हो । श्रीसितै जोडिएर आउने अरु मानिसको पनि कथा हो । सबैका केही न केही सपना छन् । सहरको यो भागदौडमा श्री कहीं पुग्न चाहन्छ । तर हिँड्न जान्दैन । ऊ केही बन्न चाहन्छ । तर कसरी बन्ने पत्तो पाउँदैन । एक मानिसको उतारचढावमा अनेक मानिस जोडिन्छन् । एक्लो […],https://booksmandala.com/books/eklo-18596
"Red, White And Royal Blue",Casey Mcquiston,Rs. 958,N/A,N/A,N/A,Fiction And Literature,432 Pages,320g,9781250316776,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","* Instant NEW YORK TIMES and USA TODAY bestseller ** GOODREADS CHOICE AWARD WINNER for BEST DEBUT and BEST ROMANCE of 2019 ** BEST BOOK OF THE YEAR* for VOGUE, NPR, VANITY FAIR, and more! *What happens when America's First Son falls in love with the Prince of Wales?When his mother became President, Alex Claremont-Diaz was promptly cast as the American equivalent of a young royal. Handsome, charismatic, genius—his image is pure millennial-marketing gold for the White House. There's only one problem: Alex has a beef with the actual prince, Henry, across the pond. And when the tabloids get hold of a photo involving an Alex-Henry altercation, U.S./British relations take a turn for the worse. Heads of family, state, and other handlers devise a plan for damage control: staging a truce between the two rivals. What at first begins as a fake, Instragramable friendship grows deeper, and more dangerous, than either Alex or Henry could have imagined. Soon Alex finds himself hurtling into a secret romance with a surprisingly unstuffy Henry that could derail the campaign and upend two nations and begs the question: Can love save the world after all? Where do we find the courage, and the power, to be the people we are meant to be? And how can we learn to let our true colors shine through? Casey McQuiston's Red, White & Royal Blue proves: true love isn't always diplomatic. ""I took this with me wherever I went and stole every second I had to read! Absorbing, hilarious, tender, sexy—this book had everything I crave. I’m jealous of all the readers out there who still get to experience Red, White & Royal Blue for the first time!"" - Christina Lauren, New York Times bestselling author of The Unhoneymooners""Red, White & Royal Blue is outrageously fun. It is romantic, sexy, witty, and thrilling. I loved every second."" - Taylor Jenkins Reid, New York Times bestselling author of Daisy Jones & The Six",https://booksmandala.com/books/red-white-and-royal-blue-40887
It Ends With Us,Colleen Hoover,Rs.  598.5 Rs.  798( 25% OFF),4.0,N/A,N/A,Fiction And Literature,376 Pages,330g,9781501110368,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","Instant New York Times Bestseller Combining a captivating romance with a cast of all-too-human characters, Colleen Hoover’s It Ends With Us is an unforgettable tale of love that comes at the ultimate price.Lily hasn’t always had it easy, but that’s never stopped her from working hard for the life she wants. She’s come a long way from the small town in Maine where she grew up—she graduated from college, moved to Boston, and started her own business. So when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily’s life suddenly seems almost too good to be true. Ryle is assertive, stubborn, maybe even a little arrogant. He’s also sensitive, brilliant, and has a total soft spot for Lily. And the way he looks in scrubs certainly doesn’t hurt. Lily can’t get him out of her head. But Ryle’s complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his “no dating” rule, she can’t help but wonder what made him that way in the first place. As questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan—her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened.",https://booksmandala.com/books/it-ends-with-us-35255
King of Wrath,Ana Huang,Rs. 958,5.0,N/A,N/A,Fiction And Literature,383 Pages,300g,9780349436326,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","A brand new steamy billionaire romance from the bestselling author of the Twisted series. She's the wife he never wanted . . . and the weakness he never saw coming. Ruthless. Meticulous. Arrogant. Dante Russo thrives on control, both personally and professionally. The billionaire CEO never planned to marry - until the threat of blackmail forces him into an engagement with a woman he barely knows: Vivian Lau, jewellery heiress and daughter of his newest enemy. It doesn't matter how beautiful or charming she is. He'll do everything in his power to destroy the evidence and their betrothal. There's only one problem: now that he has her . . . he can't bring himself to let her go. *** Elegant. Ambitious. Well-mannered. Vivian Lau is the perfect daughter and her family's ticket into the highest echelons of high society. Marrying a blue-blooded Russo means opening doors that would otherwise remain closed to her new-money family. While the rude, elusive Dante isn't her idea of a dream partner, she agrees to their arranged marriage out of duty. Craving his touch was never part of the plan. Neither was the worst thing she could possibly do: fall in love with her future husband. King of Wrath is a steamy arranged marriage billionaire romance. It includes explicit content and profanity. Recommended for mature readers only.",https://booksmandala.com/books/king-of-wrath-19705
Where the Sidewalk Ends,Shel Silverstein,Rs. 1598,N/A,Only 7 item left in stock!,N/A,Fiction And Literature,183 Pages,600g,9781846143847,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","If you are a dreamer, come in, If you are a dreamer, A wisher, a liar, A hope-er, a pray-er, A magic bean buyer ...Come in ...for where the sidewalk ends, Shel Silverstein's world begins. You'll meet a boy who turns into a TV set, and a girl who eats a whale. The Unicorn and the Bloath live there, and so does Sarah Cynthia Sylvia Stout who will not take the garbage out. It is a place where you wash your shadow and plant diamond gardens, a place where shoes fly, sisters are auctioned off, and crocodiles go to the dentist. Shel Silverstein's masterful collection of poems and drawings is at once outrageously funny and profound.",https://booksmandala.com/books/where-the-sidewalk-ends-68559
A Man Called Ove,Fredrik Backman,Rs. 638,5.0,Only 2 item left in stock!,N/A,Fiction And Literature,295 Pages,235g,9781444775815,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","At first sight, Ove is almost certainly the grumpiest man you will ever meet. He thinks himself surrounded by idiots - neighbours who can't reverse a trailer properly, joggers, shop assistants who talk in code, and the perpetrators of the vicious coup d'etat that ousted him as Chairman of the Residents' Association. He will persist in making his daily inspection rounds of the local streets. But isn't it rare, these days, to find such old-fashioned clarity of belief and deed? Such unswerving conviction about what the world should be, and a lifelong dedication to making it just so? In the end, you will see, there is something about Ove that is quite irresistible... The word-of-mouth bestseller causing a sensation across Europe, Fredrik Backman's heartwarming debut is a funny, moving, uplifting tale of love and community that will leave you with a spring in your step - and less ready to judge on first impressions a man you might one day wish to have as your dearest friend.",https://booksmandala.com/books/a-man-called-ove-44032
No Longer Human,Osamu Dazai,Rs. 455,N/A,Only 8 item left in stock!,N/A,Fiction And Literature,144 Pages,130g,9781915159960,English,"Fiction and Literature:, Spirituality and Philosophy:, Fiction and Literature:, Spirituality and Philosophy:","Osamu Dazai's No Longer Human, this leading postwar Japanese writer's second novel, tells the poignant and fascinating story of a young man who is caught between the breakup of the traditions of a northern Japanese aristocratic family and the impact of Western ideas. In consequence, he feels himself ""disqualified from being human"" (a literal translation of the Japanese title).
Donald Keene, who translated this and Dazai's first novel, The Setting Sun, has said of the author's work: ""His world … suggests Chekhov or possibly postwar France, … but there is a Japanese sensibility in the choice and presentation of the material. A Dazai novel is at once immediately intelligible in Western terms and quite unlike any Western book."" His writing is in some ways reminiscent of Rimbaud, while he himself has often been called a forerunner of Yukio Mishima.",https://booksmandala.com/books/no-longer-human-69750
The Alchemist,Paulo Coelho,Rs. 638,N/A,N/A,N/A,Fiction And Literature,192 Pages,166g,9788172234980,English,"Fiction and Literature:, Fiction and Literature:, Spirituality and Philosophy:, Fiction and Literature:, Fiction and Literature:, Spirituality and Philosophy:","Every Few Decades A Book Is Published That Changes The Lives Of Its Readers Forever. This Is Such A Book A Magical Fable About Learning To Listen To Your Heart, Read The Omens Strewn Along Life'S Path And, Above All, Follow Your Dreams. This Is The Magical Story Of Santiago, An Andalusian Shepherd Boy Who Dreams Of Travelling The World In Search Of A Worldly Treasure As Fabulous As Any Ever Found. From His Home In Spain He Journeys To The Markets Of Tangiers, And From There Into The Egyptian Desert, Where A Fateful Encounter With The Alchemist Awaits Him With Paulo Coelho'S Visionary Blend Of Spirituality, Magical Realism And Folklore, The Alchemist Is A Story With The Power To Inspire Nations And Change People'S Lives.",https://booksmandala.com/books/the-alchemist-37738
The Woman Who Climbed Trees,Smriti ravindra,Rs. 958,N/A,N/A,N/A,Fiction And Literature,421 Pages,440g,9789356296237,English,"Fiction and Literature:, Spirituality and Philosophy:, History, Biography, and Social Science:, Fiction and Literature:, Spirituality and Philosophy:, History, Biography, and Social Science:","The Great Nepali Novel is here! - PRAJWAL PARAJULY Magnificent ... If you have loved and wondered why, you will want to read this book. - JERRY PINTO Meena is fourteen years old when her parents marry her to Manmohan, a twenty-one-year-old Nepali boy she has never met. As is customary, she must leave her childhood home - along with everything and everyone she's ever known - to relocate to Nepal and embrace the home and identity of her husband's family. Manmohan is in college and spends most of the year in Kathmandu, far away from the little village Meena is confined in, leaving her alone with her demanding mother-in-law as she gradually finds comfort and love in her sister-in-law. Blending realism, ghost stories, myths and folktales, The Woman Who Climbed Trees accompanies the daring and unflinching Meena - and eventually her daughter - as she navigates life in a strange place, and struggles to manage her new family's expectations in the uncertain tides of her diasporic life.",https://booksmandala.com/books/the-woman-who-climbed-trees-50287
Ugly Love,Colleen Hoover,Rs.  598.5 Rs.  798( 25% OFF),N/A,N/A,N/A,Fiction And Literature,324 Pages,280g,9781476753188,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","From Colleen Hoover, the #1 New York Times bestselling author of It Ends with Us, a heart-wrenching love story that proves attraction at first sight can be messy. When Tate Collins meets airline pilot Miles Archer, she doesn't think it's love at first sight. They wouldn’t even go so far as to consider themselves friends. The only thing Tate and Miles have in common is an undeniable mutual attraction. Once their desires are out in the open, they realize they have the perfect set-up. He doesn’t want love, she doesn’t have time for love, so that just leaves the sex. Their arrangement could be surprisingly seamless, as long as Tate can stick to the only two rules Miles has for her. Never ask about the past. Don’t expect a future. They think they can handle it, but realize almost immediately they can’t handle it at all. Hearts get infiltrated. Promises get broken. Rules get shattered. Love gets ugly.",https://booksmandala.com/books/ugly-love-14482
The Secret History,Donna Tartt,Rs. 1118,5.0,N/A,N/A,Fiction And Literature,659 Pages,475g,9780140167771,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","Truly deserving of the accolade Modern Classic, Donna Tartt's cult bestseller The Secret History is a remarkable achievement - both compelling and elegant, dramatic and playful.'A haunting, compelling and brilliant piece of fiction' The Times'So irresistible and seductive it's almost a guilty pleasure' GuardianUnder the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality their lives are changed profoundly and for ever.'Enthralling . . . image the plot of Dostoyevsky's Crime and Punishment crossed with the story of Euripides' Bacchae set against the backdrop of Bret Easton Ellis's The Rules of Attraction . . . forceful, cerebral and impeccably controlled . . . ferociously well-paced . . . remarkably powerful' The New York Times'Donna Tartt is an amazingly good writer. She's dense, she's allusive. She's a gorgeous storyteller' Stephen KingDonna Tartt was born in Greenwood, Mississippi, and is a graduate of Bennington College. She is the author of the novels The Secret History and The Little Friend, which have been translated into thirty languages, and The Goldfinch.",https://booksmandala.com/books/the-secret-history-40617
Home Body,Rupi Kaur,Rs. 798,N/A,Only 6 item left in stock!,N/A,Fiction And Literature,188 Pages,180g,9781471196720,English,"Arts and Photography:, Fiction and Literature:, Self Improvement and Relationships:, Arts and Photography:, Fiction and Literature:, Self Improvement and Relationships:","Rupi Kaur constantly embraces growth, and in home body, she walks readers through a reflective and intimate journey visiting the past, the present, and the potential of the self. home body is a collection of raw, honest conversations with oneself – reminding readers to fill up on love, acceptance, community, family, and embrace change. Illustrated by the author, themes of nature and nurture, light and dark, rest here. i dive into the well of my body and end up in another world everything i need already exists in me there’s no need to look anywhere else – home",https://booksmandala.com/books/home-body-36259
Tuesdays With Morrie,Mitch Albom,Rs. 478,N/A,N/A,N/A,Fiction And Literature,201 Pages,140g,9780751527377,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:","Maybe it was a grandparent, a teacher or a colleague. Someone older, patient and wise, who understood when you were young and impassioned, helped you to see the world as a more profound place, and gave you sound advice to guide your way through it. For Mitch Albom, it was Morrie Schwartz, the colleage professor who taught him nearly twenty years ago. Perhaps, like Mitch, you lost track of this mentor as the years passed, the insights faded, and the world seemed colder. Wouldn't you like to see that person again, to ask the bigger questions that still haunt you, and receive wisdom for your busy life the way you once did when you were younger? Mitch Albom got that second chance, rediscovering Morrie in the last months of the older man's life. Their rekindled relationship turned in one final 'class': lessons in how to live. Tuesdays with Morrie is a magical chronicle of their time together.",https://booksmandala.com/books/tuesdays-with-morrie-26556
Shantaram,Gregory David Roberts,Rs. 958,N/A,Only 9 item left in stock!,N/A,Fiction And Literature,933 Pages,670g,9780349117546,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","A novel of high adventure, great storytelling and moral purpose, based on an extraordinary true story of eight years in the Bombay underworld.'In the early 80s, Gregory David Roberts, an armed robber and heroin addict, escaped from an Australian prison to India, where he lived in a Bombay slum. There, he established a free health clinic and also joined the mafia, working as a money launderer, forger and street soldier. He found time to learn Hindi and Marathi, fall in love, and spend time being worked over in an Indian jail. Then, in case anyone thought he was slacking, he acted in Bollywood and fought with the Mujahedeen in Afghanistan . . . Amazingly, Roberts wrote Shantaram three times after prison guards trashed the first two versions. It's a profound tribute to his willpower . . . At once a high-kicking, eye-gouging adventure, a love saga and a savage yet tenderly lyrical fugitive vision.' Time Out",https://booksmandala.com/books/shantaram-10754
A Little Life,Hanya Yanagihara,Rs. 1118,5.0,Only 1 item left in stock!,N/A,Fiction And Literature,720 Pages,560g,9781035035038,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","A stunning “portrait of the enduring grace of friendship” (NPR) about the families we are born into, and those that we make for ourselves. A masterful depiction of love in the twenty-first century.
When four classmates from a small Massachusetts college move to New York to make their way, they’re broke, adrift, and buoyed only by their friendship and ambition. There is kind, handsome Willem, an aspiring actor; JB, a quick-witted, sometimes cruel Brooklyn-born painter seeking entry to the art world; Malcolm, a frustrated architect at a prominent firm; and withdrawn, brilliant, enigmatic Jude, who serves as their center of gravity.
Over the decades, their relationships deepen and darken, tinged by addiction, success, and pride. Yet their greatest challenge, each comes to realize, is Jude himself, by midlife a terrifyingly talented litigator yet an increasingly broken man, his mind and body scarred by an unspeakable childhood, and haunted by what he fears is a degree of trauma that he’ll not only be unable to overcome—but that will define his life forever.",https://booksmandala.com/books/a-little-life-68718
Six of Crows,Leigh Bardugo,Rs. 958,2.0,Only 1 item left in stock!,N/A,Fiction And Literature,494 Pages,385g,9781780622286,English,"Fiction and Literature:, Fiction and Literature:","The Grisha Trilogy introduced readers to the irresistible fantasy world of the Grisha - and now Leigh Bardugo brings us a new sweeping epic. Ketterdam: a bustling hub of international trade where anything can be had for the right price - and no one knows that better than criminal prodigy, Kaz Brekker. Kaz is offered a chance at a deadly heist that could make him rich beyond his wildest dreams. But he can't pull it off alone. A convict with a thirst for revenge. A sharpshooter who can't walk away from a wager. A runaway with a privileged past. A spy known as the Wraith. A Heartrender using her magic to survive the slums. A thief with a gift for unlikely escapes. Six dangerous outcasts. One impossible heist. Kaz's crew is the only thing that might stand between the world and destruction - if they don't kill each other first. Leigh Bardugo's writing has captivated readers since SHADOW AND BONE was published in 2012. SIX OF CROWS will take Leigh's fans back into the world they know and love. As gripping, sweeping and memorable as The Grisha Trilogy, this is perfect for fans of Laini Taylor, Kristin Cashore and Game of Thrones.",https://booksmandala.com/books/six-of-crows-34331
The Silent Patient,Alex Michaelides,Rs. 638,5.0,N/A,N/A,Fiction And Literature,352 Pages,260g,9781409181637,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","I love him so totally, completely, sometimes it threatens to overwhelm me. Sometimes I think . . . No. I won't write about that.ALICIAAlicia Berenson writes a diary as a release, an outlet - and to prove to her beloved husband that everything is fine. She can't bear the thought of worrying Gabriel, or causing him pain.Until, late one evening, Alicia shoots Gabriel five times and then never speaks another word.THEOForensic psychotherapist Theo Faber is convinced he can successfully treat Alicia, where all others have failed. Obsessed with investigating her crime, his discoveries suggest Alicia's silence goes far deeper than he first thought.And if she speaks, would he want to hear the truth?THE SILENT PATIENT is a heart-stopping debut thriller about a woman's brutal and random act of violence against her husband - and the man obsessed with discovering why.",https://booksmandala.com/books/the-silent-patient-37125
It Starts With Us,Colleen Hoover,Rs.  838.5 Rs.  1118( 25% OFF),N/A,N/A,N/A,Fiction And Literature,352 Pages,420g,9781398518179,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","Before It Ends with Us, it started with Atlas. Colleen Hoover tells fan favourite Atlas’s side of the story and shares what comes next in this long-anticipated sequel to the #1 Sunday Times bestseller It Ends with Us Lily and her ex-husband, Ryle, have just settled into a civil co-parenting rhythm when she suddenly bumps into her first love, Atlas, again. After nearly two years separated, she is elated that for once, time is on their side, and she immediately says yes when Atlas asks her on a date. But her excitement is quickly hampered by the knowledge that, though they are no longer married, Ryle is still very much a part of her life—and Atlas Corrigan is the one man he will hate being in his ex-wife and daughter’s life. Switching between the perspectives of Lily and Atlas, It Starts with Us picks up right where the epilogue for the bestselling phenomenon It Ends with Us left off. Revealing more about Atlas’s past and following Lily as she embraces a second chance at true love while navigating a jealous ex-husband, it proves that “no one delivers an emotional read like Colleen Hoover” (Anna Todd, bestselling author).",https://booksmandala.com/books/it-starts-with-us-41808
The Immortals of Meluha,Amish Tripathi,Rs. 638,N/A,N/A,N/A,Fiction And Literature,417 Pages,300g,9789356290525,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","1900 BC. In what modern Indians mistakenly call the Indus Valley Civilisation. The inhabitants of that period called it the land of Meluha ? a near perfect empire created many centuries earlier by Lord Ram, one of the greatest monarchs that ever lived. This once proud empire and its Suryavanshi rulers face severe perils as its primary river, the revered Saraswati, is slowly drying to extinction. They also face devastating terrorist attacks from the east, the land of the Chandravanshis. To make matters worse, the Chandravanshis appear to have allied with the Nagas, an ostracised and sinister race of deformed humans with astonishing martial skills. The only hope for the Suryavanshis is an ancient legend: ?When evil reaches epic proportions, when all seems lost, when it appears that your enemies have triumphed, a hero will emerge.? Is the rough-hewn Tibetan immigrant Shiva, really that hero? And does he want to be that hero at all? Drawn suddenly to his destiny, by duty as well as by love, will Shiva lead the Suryavanshi vengeance and destroy evil? This is the first book in a trilogy on Shiva, the simple man whose karma re-cast him as our Mahadev, the God of Gods.",https://booksmandala.com/books/the-immortals-of-meluha-13333
Arresting god in kathmandu,Samrat Upadhyay,Rs. 472,4.5,Only 4 item left in stock!,N/A,Fiction And Literature,191 Pages,170g,9788171678037,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:","From the first Nepali author writing in English to be published in the West, Arresting God in Kathmandu brilliantly explores the nature of desire and spirituality in a changing society.",https://booksmandala.com/books/arresting-god-in-kathmandu-44601
The Greatest Russian Short Stories,Embassy Books,Rs. 632,N/A,Only 1 item left in stock!,N/A,Foreign Languages,296 Pages,378g,9789392217197,English,"Foreign Languages:, Foreign Languages:","But how could you live and have no story to tell?” – Fyodor Dostoevsky A lonely man walking down the streets of St. Petersburg saves a woman from being harassed, and over four nights, they slowly get to know each other (White Nights). Doctor Startsev moves to a small provincial town and falls hopelessly in love with the beautiful Ekaterina, but she has ambitions of her own (Ionitch). Mumu tells the sad tale of a destitute, hard-working serf named Gerasim and his bond with his dog Mumu. This literary treasure trove contains ten of the finest Russian short stories ever written, comprising both lesser-known stories like Leonid Andreyev’s Lazarus, as well as more famous ones such as Nikolai Gogol’s The Cloak. Featuring a wide variety of authors including Maxim Gorky, Alexander Pushkin, and Anton Chekhov, this book serves as a holistic introduction to the wide spectrum of Russian literature.",https://booksmandala.com/books/the-greatest-russian-short-stories-41610
Die Zweier Beziehung,Unassigned,Rs. 645,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,9783499605093,German,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, Die Zweier Beziehung is available for purchase at Books Mandala.",https://booksmandala.com/books/die-zweier-beziehung-23405
Le Palpasa Cafe,Narayan Wagle,Rs. 495,5.0,Only 9 item left in stock!,N/A,Foreign Languages,336 Pages,275g,9789937892421,French,"Foreign Languages:, Foreign Languages:","Palpasa Café tells the story of an artist, Drishya, during the height of the Nepalese Civil War. The novel is partly a love story of Drishya and the first generation American Nepali, Palpasa, who has returned to the land of her parents after 9/11. It is often called an anti-war novel, and describes the effects of the civil war on the Nepali countryside that Drishya travels to.",https://booksmandala.com/books/le-palpasa-cafe-27345
jpn518,Unassigned,Rs. 90,N/A,Only 1 item left in stock!,N/A,Foreign Languages,N/A,250g,b1585,English,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, jpn518 is available for purchase at Books Mandala.",https://booksmandala.com/books/jpn518-48309
wir hatten die wahl,Unassigned,Rs. 456,N/A,Only 2 item left in stock!,N/A,Foreign Languages,N/A,250g,9783499621352,German,"Foreign Languages:, Foreign Languages:","A description of this book has not been provided by the author/publisher. However, wir hatten die wahl is available for purchase at Books Mandala.",https://booksmandala.com/books/wir-hatten-die-wahl-22828
