Title,Author,Price,Rating,Genre,Number of Pages,Weight,ISBN,Language,Related Genres,URL
Sonia Under Scrutiny: Issue of Foreign Origin,A Surya Prakash,Rs. 160,N/A,History Biography And Social Science,157 Pages,355g,9788189072056,English,"History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/sonia-under-scrutiny-issue-of-foreign-origin-40062
Mohandas K. Gandhi,Patricia Cronin Marcello,Rs. 560,N/A,History Biography And Social Science,166 Pages,210g,9788184953596,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/mohandas-k-gandhi-4262
A Heart so wild,Johanna Lindsey,Rs. 413,N/A,History Biography And Social Science,358 Pages,195g,9780380750849,English,"Fiction and Literature:, History, Biography, and Social Science:, Fiction and Literature:, History, Biography, and Social Science:",https://booksmandala.com/books/a-heart-so-wild-35211
God Has Ninety Nine Names,Judith Miller,Rs. 717,N/A,History Biography And Social Science,576 Pages,680g,9780684832289,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/god-has-ninety-nine-names-39741
A Travelle's Life,Eric Newby,Rs. 560,N/A,History Biography And Social Science,302 Pages,230g,9780330280303,English,"History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/a-travelles-life-24752
Summer rain,K. Satchidanandan,Rs. 255,N/A,History Biography And Social Science,188 Pages,210g,b662,English,"History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/summer-rain-23427
Resurrectionist,James Mcgee,Rs. 632,N/A,History Biography And Social Science,554 Pages,390g,9780007212712,English,"Fiction and Literature:, Fiction and Literature:, History, Biography, and Social Science:, Fiction and Literature:, Fiction and Literature:, History, Biography, and Social Science:",https://booksmandala.com/books/resurrectionist-24754
After the Cataclysm,Noam Chomsky and ,Rs. 952,N/A,History Biography And Social Science,488 Pages,470g,9780745335506,English,"History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:",https://booksmandala.com/books/after-the-cataclysm-29481
The Other Boleyn Girl,Philippa Gregory,Rs. 600,N/A,History Biography And Social Science,752 Pages,350g,9781439166017,English,"Fiction and Literature:, Fiction and Literature:, History, Biography, and Social Science:, Fiction and Literature:, Fiction and Literature:, History, Biography, and Social Science:",https://booksmandala.com/books/the-other-boleyn-girl-5947
The Amazing Power Of Deliberate Intent,Esther And Jerry Hicks,Rs. 560,N/A,History Biography And Social Science,303 Pages,465g,9788190416979,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, Self Improvement and Relationships:, History, Biography, and Social Science:",https://booksmandala.com/books/the-amazing-power-of-deliberate-intent-39689
INDIA VS UK,Syed. Akbaruddin,Rs. 958,N/A,History Biography And Social Science,211 Pages,360g,9789354892035,English,"History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/india-vs-uk-12209
Empowered and Imperiled,Sanjay Upadhya,Rs. 698,N/A,History Biography And Social Science,360 Pages,390g,9789937746359,English,"History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/empowered-and-imperiled-21786
The Road from Coorain,Jill K. Conway,Rs. 350,N/A,History Biography And Social Science,238 Pages,240g,9780679724360,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/the-road-from-coorain-48796
"Three Sisters, Three Queens Paperback",Philippa Gregory,Rs. 880,N/A,History Biography And Social Science,548 Pages,605g,9781471133022,English,"Fiction and Literature:, History, Biography, and Social Science:, Fiction and Literature:, History, Biography, and Social Science:",https://booksmandala.com/books/three-sisters-three-queens-paperback-43986
Marc Ellis - Crossing the Line,Marc Ellis and ,Rs. 1000,N/A,History Biography And Social Science,215 Pages,990g,9781869710743,English,"Arts and Photography:, History, Biography, and Social Science:, Arts and Photography:, History, Biography, and Social Science:",https://booksmandala.com/books/marc-ellis-crossing-the-line-10867
Mahatma Gandhi,Douglas Allen,Rs. 638,N/A,History Biography And Social Science,191 Pages,320g,9781861898654,English,"History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/mahatma-gandhi-49163
Born on a Blue Day,Daniel Tammet,Rs. 1040,N/A,History Biography And Social Science,284 Pages,220g,9780340899755,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/born-on-a-blue-day-39841
Father Of Modern Physics,Albert Einstein,Rs. 350,N/A,History Biography And Social Science,264 Pages,205g,9789937935685,English,"History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/father-of-modern-physics-36705
We Are Not Here to Be Bystanders,Linda Sarsour,Rs. 958,N/A,History Biography And Social Science,272 Pages,335g,9781982105174,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/we-are-not-here-to-be-bystanders-37121
Think like a champion,Donald J. Trump,Rs. 1438,N/A,History Biography And Social Science,224 Pages,250g,9781593155711,English,"Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:, Business and Investing:, Self Improvement and Relationships:, Self Improvement and Relationships:",https://booksmandala.com/books/think-like-a-champion-35409
Conviction,Richard North Patterson,Rs. 542,N/A,History Biography And Social Science,237 Pages,320g,9780330490849,English,"Fiction and Literature:, History, Biography, and Social Science:, Fiction and Literature:, History, Biography, and Social Science:",https://booksmandala.com/books/conviction-5579
Learning True Love,Sister Chang Khong,Rs. 400,N/A,History Biography And Social Science,280 Pages,490g,9788176211130,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:",https://booksmandala.com/books/learning-true-love-26385
amictus the bug queen,Adam Blade,Rs. 400,N/A,Kids And Teens,118 Pages,130g,9781408304426,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/amictus-the-bug-queen-38234
Thomas Edison: Lighting the Way,Lori Haskins Houran,Rs. 280,N/A,Kids And Teens,32 Pages,75g,9780062432872,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/thomas-edison-lighting-the-way-37206
Nursery Rhymes,Brown Watson,Rs. 430,N/A,Kids And Teens,N/A,390g,9780709719939,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/nursery-rhymes-40142
nancy Drew Identity Revealed,Aladdin,Rs. 312,N/A,Kids And Teens,208 Pages,175g,9781416968283,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/nancy-drew-identity-revealed-37986
Karlo's Tale,Robert Leeson,Rs. 150,N/A,Kids And Teens,59 Pages,85g,9780006743200,English,"Kids and Teens, Kids and Teens",https://booksmandala.com/books/karlos-tale-8005
the o'sullivan twins,Enid Blyton,Rs. 200,N/A,Kids And Teens,184 Pages,130g,9781405228732,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/the-osullivan-twins-38485
When Do Bees Dance,Om Books Editorial Team,Rs. 200,N/A,Kids And Teens,16 Pages,150g,9789385273551,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/when-do-bees-dance-28505
kajin the beast catcher,Adam Blade,Rs. 400,N/A,Kids And Teens,144 Pages,130g,9781408323977,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/kajin-the-beast-catcher-38361
Raksha the Mirror Demon,Adam Blade,Rs. 478,N/A,Kids And Teens,192 Pages,210g,9781408313237,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/raksha-the-mirror-demon-38247
The Day I Had to Play With My Sister,Crosby Bonsall,Rs. 280,N/A,Kids And Teens,32 Pages,65g,9780064442534,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/the-day-i-had-to-play-with-my-sister-16800
beast quest Vedra and Krimon,Adam Blade,Rs. 478,N/A,Kids And Teens,187 Pages,180g,9781846169519,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/beast-quest-vedra-and-krimon-38281
Dork Diaries Once Upon a Dork,Rachel Renée Russell,Rs. 440,N/A,Kids And Teens,295 Pages,230g,9781471158667,English,"Fiction and Literature, Kids and Teens, Fiction and Literature, Kids and Teens",https://booksmandala.com/books/dork-diaries-once-upon-a-dork-16209
"Essential Classics: 20,000 Leagues Under the Sea",Pauline Francis,Rs. 280,N/A,Kids And Teens,56 Pages,95g,9789352755820,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/essential-classics-20000-leagues-under-the-sea-4685
Gopi's first box of learning,Sudha Murty,Rs. 1438,N/A,Kids And Teens,N/A,1345g,9789354226304,English,"Kids and Teens, Boxed Sets, Kids and Teens, Boxed Sets",https://booksmandala.com/books/gopis-first-box-of-learning-22693
Silly Street Selected Poems,Jeff Foxworthy,Rs. 280,N/A,Kids And Teens,32 Pages,80g,9780061765285,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/silly-street-selected-poems-35101
twelfth night,William Shakespeare,Rs. 240,N/A,Kids And Teens,350 Pages,500g,9789813030145,English,"Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/twelfth-night-298
Chasing Evil,Adam Blade,Rs. 560,N/A,Kids And Teens,212 Pages,195g,9781408307489,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/chasing-evil-23770
Alexander Hamilton A Plan for America,Sarah Albee,Rs. 280,N/A,Kids And Teens,32 Pages,80g,9780062432902,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/alexander-hamilton-a-plan-for-america-34818
"Two of a kind suprise,suprise",Megan Stine,Rs. 158,N/A,Kids And Teens,88 Pages,90g,099455004992,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/two-of-a-kind-suprisesuprise-38009
Rocks and Gems Infographics,Holly Duhig,Rs. 478,N/A,Kids And Teens,32 Pages,120g,9781912502875,English,"Learning and Reference:, Kids and Teens:, Learning and Reference:, Kids and Teens:",https://booksmandala.com/books/rocks-and-gems-infographics-4285
Hitopadesha Tales,Om Books,Rs. 400,N/A,Kids And Teens,80 Pages,600g,9789381607640,English,"Manga and Graphic Novels:, Manga and Graphic Novels:",https://booksmandala.com/books/hitopadesha-tales-28656
muro the rat monster,Adam Blade,Rs. 400,N/A,Kids And Teens,118 Pages,130g,9781408307243,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/muro-the-rat-monster-38335
Fancy Nancy: My Family History,Jane O'Connor,Rs. 280,N/A,Kids And Teens,32 Pages,80g,9780061882715,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/fancy-nancy-my-family-history-31348
gone fishing,Unassigned,Rs. 65,N/A,Kids And Teens,8 Pages,50g,9788175964723,English,"Kids and Teens, Kids and Teens",https://booksmandala.com/books/gone-fishing-28159
MY FIRST LITTLE LIBRARY 10 VOLUMES GIFT BOXSET NEW COLLECTION,Unassigned,Rs. 1118,N/A,Kids And Teens,N/A,925g,9789390213672,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/my-first-little-library-10-volumes-gift-boxset-new-collection-40713
Rairnbow Plants Illustrated book of Quetions and Answers,Rainbow,Rs. 72,N/A,Kids And Teens,16 Pages,95g,9788181533333,English,"Kids and Teens, Kids and Teens",https://booksmandala.com/books/rairnbow-plants-illustrated-book-of-quetions-and-answers-811
Essential Classics: The Call of the Wild,Pauline Francis,Rs. 280,N/A,Kids And Teens,56 Pages,95g,9789352755844,English,"Kids and Teens:, Manga and Graphic Novels:, Kids and Teens:, Manga and Graphic Novels:",https://booksmandala.com/books/essential-classics-the-call-of-the-wild-4674
My first learning book of flowers,Mapie,Rs. 40,N/A,Kids And Teens,6 Pages,55g,9789350330104,English,"Kids and Teens, Kids and Teens",https://booksmandala.com/books/my-first-learning-book-of-flowers-24381
Koba Goul Of The Shadows,Adam Blade,Rs. 400,N/A,Kids And Teens,128 Pages,130g,9781408324073,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/koba-goul-of-the-shadows-38257
Man of the Match,Dan Freedman,Rs. 250,N/A,Kids And Teens,185 Pages,165g,9781407130583,English,"Fiction and Literature, Kids and Teens, Fiction and Literature, Kids and Teens",https://booksmandala.com/books/man-of-the-match-7273
Noah's Ark : Bible Stories,Om Books Editorial Team,Rs. 158,N/A,Kids And Teens,16 Pages,150g,9789384225544,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/noahs-ark-bible-stories-28700
Secret Seven Adventure: 2,Enid Blyton,Rs. 280,N/A,Kids And Teens,100 Pages,85g,9780340893081,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/secret-seven-adventure-2-5820
Comedy in Tragedy,Offshoot,Rs. 600,N/A,Kids And Teens,N/A,280g,9789385976773,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/comedy-in-tragedy-43456
Divergent Series Four-Book Collection Box Set,Veronica Roth,Rs. 2878,N/A,Kids And Teens,2080 Pages,1903g,9780008507985,English,"Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:, Fiction and Literature:",https://booksmandala.com/books/divergent-series-four-book-collection-box-set-8205
Asterix and Obelix: All At Sea,René Goscinny and ,Rs. 798,N/A,Kids And Teens,48 Pages,245g,9780752847788,English,"Kids and Teens:, Manga and Graphic Novels:, Kids and Teens:, Manga and Graphic Novels:",https://booksmandala.com/books/asterix-and-obelix-all-at-sea-40585
How do crocodiles clean their teeth,Om Books,Rs. 200,N/A,Kids And Teens,16 Pages,150g,9789385273469,English,"Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/how-do-crocodiles-clean-their-teeth-28496
Preschool Complete Learning Activity Pack For Kids (Box Set of 8 Books),Wonder House,Rs. 1118,N/A,Kids And Teens,30 Pages,450g,9789354403897,English,"Kids and Teens:, Kids and Teens:, Kids and Teens:, Kids and Teens:",https://booksmandala.com/books/preschool-complete-learning-activity-pack-for-kids-box-set-of-8-books-50085
FRUIT CHARTS - 2,Dreamland Publication,Rs. 160,N/A,Kids And Teens,1 Pages,100g,9788184516630,English,"Learning and Reference:, Kids and Teens:, Learning and Reference:, Kids and Teens:",https://booksmandala.com/books/fruit-charts-2-50857
Confessions of a Vicar's Wife,Jane Grayshon,Rs. 250,N/A,Kids And Teens,173 Pages,210g,9781854241542,English,"Manga and Graphic Novels:, Manga and Graphic Novels:",https://booksmandala.com/books/confessions-of-a-vicars-wife-12943
Krabb Master of the Sea,Adam Blade,Rs. 400,N/A,Kids And Teens,118 Pages,130g,9781408304372,English,"Fiction and Literature:, Kids and Teens:, Fiction and Literature:, Kids and Teens:",https://booksmandala.com/books/krabb-master-of-the-sea-38438
Sebastian Faulks,Margaret Reynolds and ,Rs. 550,N/A,Learning And Reference,198 Pages,165g,9780099437567,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, Learning and Reference:, History, Biography, and Social Science:, History, Biography, and Social Science:, Learning and Reference:",https://booksmandala.com/books/sebastian-faulks-489
The Story of V,Catherine Blackledge,Rs. 472,N/A,Learning And Reference,370 Pages,335g,9780753817766,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, Lifestyle and Wellness:, History, Biography, and Social Science:, History, Biography, and Social Science:, Lifestyle and Wellness:",https://booksmandala.com/books/the-story-of-v-23517
The Ascent of Everest,John Hunt Baron Hunt,Rs. 944,N/A,Learning And Reference,280 Pages,475g,9780898863611,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, Learning and Reference:, History, Biography, and Social Science:, History, Biography, and Social Science:, Learning and Reference:",https://booksmandala.com/books/the-ascent-of-everest-25678
Lonely Planet Thailand,"China Williams, ",Rs. 3120,N/A,Learning And Reference,798 Pages,660g,9781742205809,English,"Travel:, Travel:",https://booksmandala.com/books/lonely-planet-thailand-38685
10 Billion,Stephen Emmott,Rs. 560,N/A,Learning And Reference,198 Pages,170g,9780141976327,English,"Self Improvement and Relationships:, History, Biography, and Social Science:, History, Biography, and Social Science:, Self Improvement and Relationships:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/10-billion-5543
Dictionary of Astronomy,Collins,Rs. 632,N/A,Learning And Reference,516 Pages,390g,9780007918485,English,"Learning and Reference:, Learning and Reference:",https://booksmandala.com/books/dictionary-of-astronomy-29855
The Illustrated Dictionary of Internet,Tiara Yule,Rs. 152,N/A,Learning And Reference,176 Pages,210g,9788189093402,English,"Learning and Reference:, Learning and Reference:",https://booksmandala.com/books/the-illustrated-dictionary-of-internet-26842
Lonely Planet Scotland,Lonely Planet and ,Rs. 1793,N/A,Learning And Reference,515 Pages,435g,9781741793246,English,"Learning and Reference, Travel, Learning and Reference, Travel",https://booksmandala.com/books/lonely-planet-scotland-38666
Stones Into Schools,Greg Mortenson and ,Rs. 720,N/A,Learning And Reference,422 Pages,470g,9780143118237,English,"History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/stones-into-schools-49597
How to Win at Online Gambling,Belinda Levez,Rs. 318,N/A,Learning And Reference,200 Pages,200g,9780340905715,English,"Learning and Reference:, Learning and Reference:",https://booksmandala.com/books/how-to-win-at-online-gambling-38842
Incagnita,David Eagleman,Rs. 478,N/A,Learning And Reference,290 Pages,305g,9781847679406,English,"History, Biography, and Social Science:, Spirituality and Philosophy:, Learning and Reference:, History, Biography, and Social Science:, Spirituality and Philosophy:, Learning and Reference:",https://booksmandala.com/books/incagnita-44879
Lonely Planet Barcelona,"Andy Symington, ",Rs. 2199,N/A,Learning And Reference,303 Pages,365g,9781742208923,English,"Travel:, Travel:",https://booksmandala.com/books/lonely-planet-barcelona-35623
Crossword dictionary,Unassigned,Rs. 220,N/A,Learning And Reference,250 Pages,220g,9781860190926,English,"Learning and Reference:, Learning and Reference:",https://booksmandala.com/books/crossword-dictionary-26797
Chinese Characters In Pictures 2,Unassigned,Rs. 400,N/A,Learning And Reference,205 Pages,485g,9788188951383,English,"Learning and Reference:, Learning and Reference:",https://booksmandala.com/books/chinese-characters-in-pictures-2-38901
Lonely Planet Great Britain,"Neil Wilson, ",Rs. 2999,N/A,Learning And Reference,1056 Pages,875g,9781743214725,English,"Travel:, Travel:",https://booksmandala.com/books/lonely-planet-great-britain-38742
The Dream Bible,Brenda Mallon,Rs. 1200,N/A,Learning And Reference,399 Pages,615g,9781841813707,English,"History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/the-dream-bible-10638
Lonely Planet India,"Abigail Blasi, ",Rs. 4024,N/A,Learning And Reference,1248 Pages,995g,9781743216767,English,"Learning and Reference, Travel, Learning and Reference, Travel",https://booksmandala.com/books/lonely-planet-india-38659
Loren Coleman Tom Slick and the search for the yeti,Loren Coleman,Rs. 350,N/A,Learning And Reference,176 Pages,275g,9780571129003,English,"History, Biography, and Social Science:, Learning and Reference:, Travel:, History, Biography, and Social Science:, Learning and Reference:, Travel:",https://booksmandala.com/books/loren-coleman-tom-slick-and-the-search-for-the-yeti-48682
Dancing Wu Li Masters,Gary Zukav,Rs. 987,N/A,Learning And Reference,416 Pages,330g,9780060959685,English,"Spirituality and Philosophy:, Learning and Reference:, Spirituality and Philosophy:, Learning and Reference:",https://booksmandala.com/books/dancing-wu-li-masters-45301
The Lighthouse Stevensons,Bella Bathurst,Rs. 472,N/A,Learning And Reference,284 Pages,250g,9780007241705,English,"Arts and Photography:, History, Biography, and Social Science:, History, Biography, and Social Science:, Arts and Photography:, History, Biography, and Social Science:, History, Biography, and Social Science:",https://booksmandala.com/books/the-lighthouse-stevensons-37528
THE CURVEBALL,Colby Sharma,Rs. 478,N/A,Learning And Reference,176 Pages,180g,9789390166909,English,"Business and Investing, Learning and Reference, Business and Investing, Learning and Reference",https://booksmandala.com/books/the-curveball-49985
Lonely Planet Tokyo,Simon Richmond and ,Rs. 2485,N/A,Learning And Reference,296 Pages,350g,9781742208831,English,"Learning and Reference, Travel, Learning and Reference, Travel",https://booksmandala.com/books/lonely-planet-tokyo-38751
Sparks of Divinity,B.K.S. Iyengar,Rs. 1000,N/A,Learning And Reference,256 Pages,375g,9781930485327,English,"Spirituality and Philosophy, Learning and Reference, Spirituality and Philosophy, Learning and Reference",https://booksmandala.com/books/sparks-of-divinity-22992
FRUIT CHARTS - 2,Dreamland Publication,Rs. 160,N/A,Learning And Reference,1 Pages,100g,9788184516630,English,"Learning and Reference:, Kids and Teens:, Learning and Reference:, Kids and Teens:",https://booksmandala.com/books/fruit-charts-2-50857
What Are We Doing Here?,Marilynne Robinson,Rs. 958,N/A,Learning And Reference,336 Pages,285g,9780349010441,English,"History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:, History, Biography, and Social Science:, Spirituality and Philosophy:, History, Biography, and Social Science:",https://booksmandala.com/books/what-are-we-doing-here-31270
"Lonely Planet Kuala Lumpur, Melaka & Penang",Lonely Planet,Rs. 2663,N/A,Learning And Reference,263 Pages,315g,9781786575302,English,"Travel:, Travel:",https://booksmandala.com/books/lonely-planet-kuala-lumpur-melaka-penang-17331
Modern Yoga Bible,Chrstina Brown,Rs. 1200,N/A,Learning And Reference,400 Pages,640g,9781841814667,English,"Lifestyle and Wellness:, Lifestyle and Wellness:, Lifestyle and Wellness:, Lifestyle and Wellness:, Lifestyle and Wellness:, Lifestyle and Wellness:",https://booksmandala.com/books/modern-yoga-bible-44135
Lonely Planet Tibet [2019],Stephen Lioy,Rs. 3437,N/A,Learning And Reference,351 Pages,390g,9781786573759,English,"Travel:, Travel:",https://booksmandala.com/books/lonely-planet-tibet-2019-31373
Barron's Spanish-English Pocket Dictionary/Diccionario de Bolsillo Espanol-Ingles,Meg Tsiris,Rs. 720,N/A,Learning And Reference,982 Pages,500g,9780764140051,English,"Learning and Reference:, Learning and Reference:",https://booksmandala.com/books/barrons-spanish-english-pocket-dictionarydiccionario-de-bolsillo-espanol-ingles-29135
The Illustrated Dictionary of Physical Education,Sabrina Keats,Rs. 152,N/A,Learning And Reference,208 Pages,250g,9788189093549,English,"Learning and Reference:, Learning and Reference:",https://booksmandala.com/books/the-illustrated-dictionary-of-physical-education-26806
Lonely Planet Bali and Lombok,Lonely Planet,Rs. 3328,N/A,Learning And Reference,416 Pages,360g,9781786575456,English,"Travel:, Travel:",https://booksmandala.com/books/lonely-planet-bali-and-lombok-4384
Lonely Planet China,"Damian Harper, ",Rs. 3954,N/A,Learning And Reference,1056 Pages,875g,9781743214015,English,"Learning and Reference, Travel, Learning and Reference, Travel",https://booksmandala.com/books/lonely-planet-china-38663
EKTA BRIHAT NEPALI - ANGREZI KOSH,Shreedhar Prasad Lohani and ,Rs. 1850,N/A,Learning And Reference,1350 Pages,2130g,9789937106283,Nepali,"Learning and Reference:, Learning and Reference:",https://booksmandala.com/books/ekta-brihat-nepali-angrezi-kosh-33164
oxford russian mini dictionary,Oxford University Press,Rs. 450,N/A,Learning And Reference,768 Pages,220g,9780199692712,English,"Learning and Reference:, Learning and Reference:",https://booksmandala.com/books/oxford-russian-mini-dictionary-26723
Rocks and Gems Infographics,Holly Duhig,Rs. 478,N/A,Learning And Reference,32 Pages,120g,9781912502875,English,"Learning and Reference:, Kids and Teens:, Learning and Reference:, Kids and Teens:",https://booksmandala.com/books/rocks-and-gems-infographics-4285
Hell and Back,Tim Parks,Rs. 450,N/A,Learning And Reference,341 Pages,260g,9780099274858,English,"Learning and Reference:, Fiction and Literature:, Learning and Reference:, Fiction and Literature:",https://booksmandala.com/books/hell-and-back-23477
Aquarium Fish,Dick Mills,Rs. 1118,N/A,Learning And Reference,304 Pages,580g,9780751327267,English,"Learning and Reference, Nature, Learning and Reference, Nature",https://booksmandala.com/books/aquarium-fish-26486
One day spanish DVD,Elisabeth Smith,Rs. 400,N/A,Learning And Reference,N/A,140g,9780340913536,English,"Learning and Reference:, Learning and Reference:",https://booksmandala.com/books/one-day-spanish-dvd-38860
"Greetings, carbon-based bipeds!",Arthur C. Clarke,Rs. 800,N/A,Learning And Reference,555 Pages,400g,9780006483694,English,"History, Biography, and Social Science:, Learning and Reference:, History, Biography, and Social Science:, Learning and Reference:",https://booksmandala.com/books/greetings-carbon-based-bipeds-5566
Call After Midnight,Tees Gerritsen,Rs. 312,N/A,Learning And Reference,376 Pages,175g,9780778300748,English,"Fiction and Literature:, Fiction and Literature:, Learning and Reference:, Fiction and Literature:, Fiction and Literature:, Learning and Reference:",https://booksmandala.com/books/call-after-midnight-801
Yoga with therapy Techniques,Shhymaraj Nidugla,Rs. 1000,N/A,Lifestyle And Wellness,207 Pages,285g,9788193151211,English,"Lifestyle and Wellness:, Lifestyle and Wellness:",https://booksmandala.com/books/yoga-with-therapy-techniques-4691
Solomon's Angels,Doreen Virtie,Rs. 478,N/A,Lifestyle And Wellness,235 Pages,245g,9788189988357,English,"Fiction and Literature, Lifestyle and Wellness, Fiction and Literature, Lifestyle and Wellness",https://booksmandala.com/books/solomons-angels-9816
50 years of Golfing Wisdom,John Jacobs,Rs. 400,N/A,Lifestyle And Wellness,272 Pages,430g,9780060884765,English,"Lifestyle and Wellness:, Lifestyle and Wellness:",https://booksmandala.com/books/50-years-of-golfing-wisdom-48285
Modern Yoga Bible,Chrstina Brown,Rs. 1200,N/A,Lifestyle And Wellness,400 Pages,640g,9781841814667,English,"Lifestyle and Wellness:, Lifestyle and Wellness:, Lifestyle and Wellness:, Lifestyle and Wellness:, Lifestyle and Wellness:, Lifestyle and Wellness:",https://booksmandala.com/books/modern-yoga-bible-44135
Fallen Giants,Maurice Isserman and ,Rs. 1110,N/A,Lifestyle And Wellness,579 Pages,1060g,9780300164206,English,"History, Biography, and Social Science:, Lifestyle and Wellness:, Travel:, History, Biography, and Social Science:, Lifestyle and Wellness:, Travel:",https://booksmandala.com/books/fallen-giants-25759
The Pointless Joy of Freedom,John David,Rs. 1440,N/A,Lifestyle And Wellness,300 Pages,615g,9780957462793,English,"Lifestyle and Wellness:, Spirituality and Philosophy:, Lifestyle and Wellness:, Spirituality and Philosophy:",https://booksmandala.com/books/the-pointless-joy-of-freedom-40443
AYURVEDIC VEGAN KITCHEN.,Talya. Lutzker,Rs. 952,N/A,Lifestyle And Wellness,178 Pages,390g,9788178224015,English,"Lifestyle and Wellness:, Lifestyle and Wellness:",https://booksmandala.com/books/ayurvedic-vegan-kitchen-31756
Chinese Astrology Bible,Derek Walters,Rs. 880,N/A,Lifestyle And Wellness,400 Pages,630g,9781841813387,English,"Lifestyle and Wellness:, Spirituality and Philosophy:, Lifestyle and Wellness:, Spirituality and Philosophy:",https://booksmandala.com/books/chinese-astrology-bible-27976
The South Beach Diet,Dr. Arthur Agatston,Rs. 374,N/A,Lifestyle And Wellness,342 Pages,190g,9780755314164,English,"Self Improvement and Relationships:, Lifestyle and Wellness:, Self Improvement and Relationships:, Lifestyle and Wellness:",https://booksmandala.com/books/the-south-beach-diet-26810
